epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2188.07,0.32635,0.84252,1.7225,0.92342,0.90158,0.9176,0.42209,0.49436,0.96936,2.38007,0.00133558,0.00133558,0.00133558
120,2206.44,0.32633,0.89155,1.72325,0.93516,0.88785,0.9428,0.42455,0.49805,0.98305,2.40395,0.00132577,0.00132577,0.00132577
121,2224.77,0.32096,0.81192,1.70605,0.93067,0.85981,0.91696,0.4262,0.48921,1.05916,2.37341,0.00131593,0.00131593,0.00131593
122,2243.13,0.31634,0.83831,1.69312,0.90381,0.87817,0.93011,0.46046,0.48022,0.99809,2.30013,0.00130605,0.00130605,0.00130605
123,2261.46,0.31903,0.81957,1.68722,0.95025,0.89252,0.95317,0.42065,0.48564,1.02351,2.38044,0.00129614,0.00129614,0.00129614
124,2279.74,0.31737,0.81335,1.68908,0.96836,0.86916,0.93578,0.43815,0.4883,1.02291,2.36768,0.0012862,0.0012862,0.0012862
125,2298.03,0.31711,0.81918,1.68141,0.94934,0.8972,0.95799,0.44134,0.46996,0.91252,2.31582,0.00127623,0.00127623,0.00127623
126,2316.26,0.3279,0.83215,1.70489,0.88881,0.89647,0.90041,0.41182,0.47234,0.94156,2.40674,0.00126623,0.00126623,0.00126623
127,2334.65,0.31856,0.83842,1.66582,0.92811,0.85981,0.9118,0.4435,0.45639,0.97769,2.33666,0.0012562,0.0012562,0.0012562
128,2352.97,0.32652,0.79003,1.6896,0.89447,0.87136,0.90146,0.44073,0.46246,1.00435,2.32219,0.00124615,0.00124615,0.00124615
129,2371.29,0.31068,0.81902,1.64445,0.88725,0.88257,0.9404,0.43977,0.4775,0.97852,2.4132,0.00123607,0.00123607,0.00123607
130,2389.6,0.33205,0.85213,1.69643,0.84975,0.85981,0.87582,0.41652,0.47528,0.98051,2.3966,0.00122596,0.00122596,0.00122596
131,2407.86,0.32658,0.82753,1.71316,0.89801,0.90522,0.92395,0.41078,0.48418,0.99405,2.44288,0.00121583,0.00121583,0.00121583
132,2426.21,0.31823,0.85274,1.68828,0.88282,0.91535,0.92058,0.4209,0.47386,0.98141,2.41279,0.00120568,0.00120568,0.00120568
133,2444.57,0.30228,0.79775,1.63223,0.9286,0.85078,0.91346,0.44871,0.46765,1.01658,2.29627,0.00119551,0.00119551,0.00119551
134,2462.79,0.29695,0.7512,1.60353,0.93228,0.90654,0.92987,0.43199,0.48319,0.93195,2.37448,0.00118531,0.00118531,0.00118531
135,2481.04,0.31322,0.78063,1.69043,0.91924,0.90654,0.93908,0.42881,0.48025,0.89006,2.53161,0.0011751,0.0011751,0.0011751
136,2499.32,0.31289,0.79731,1.69926,0.91924,0.88785,0.9201,0.40614,0.49942,0.97714,2.49471,0.00116487,0.00116487,0.00116487
137,2517.61,0.32771,0.81722,1.70505,0.93865,0.8785,0.90493,0.45691,0.45369,0.99696,2.28846,0.00115462,0.00115462,0.00115462
138,2535.86,0.32446,0.84445,1.7054,0.9008,0.86916,0.88386,0.3998,0.47374,1.0204,2.46798,0.00114436,0.00114436,0.00114436
139,2554.08,0.3069,0.77191,1.65996,0.93934,0.8972,0.94736,0.41701,0.47358,0.93906,2.43998,0.00113408,0.00113408,0.00113408
140,2572.31,0.31655,0.78893,1.66572,0.95518,0.8972,0.93289,0.46025,0.47035,1.02685,2.34817,0.00112379,0.00112379,0.00112379
141,2590.53,0.31224,0.812,1.65648,0.90867,0.88785,0.89835,0.44411,0.48471,1.00818,2.34174,0.00111348,0.00111348,0.00111348
142,2608.84,0.31491,0.79139,1.67689,0.95069,0.90089,0.9305,0.43306,0.47569,0.99416,2.2851,0.00110317,0.00110317,0.00110317
143,2627.09,0.29721,0.76199,1.62417,0.88265,0.91589,0.91328,0.41736,0.47477,0.97746,2.33667,0.00109284,0.00109284,0.00109284
144,2645.34,0.29832,0.76933,1.63437,0.90846,0.88785,0.91128,0.42242,0.48917,0.92623,2.44032,0.00108251,0.00108251,0.00108251
145,2663.56,0.31836,0.84642,1.66545,0.93981,0.87553,0.91612,0.44639,0.46465,1.01456,2.39575,0.00107216,0.00107216,0.00107216
146,2681.79,0.3426,0.80692,1.7387,0.93965,0.87303,0.91732,0.40352,0.4902,0.95919,2.54989,0.00106181,0.00106181,0.00106181
147,2700.04,0.30553,0.76009,1.62393,0.93277,0.9077,0.93704,0.42712,0.48329,0.96389,2.38753,0.00105146,0.00105146,0.00105146
148,2718.3,0.31963,0.77184,1.66859,0.89877,0.91272,0.92159,0.454,0.46976,0.90884,2.4026,0.0010411,0.0010411,0.0010411
149,2736.54,0.30548,0.79116,1.65782,0.91422,0.92523,0.92666,0.41902,0.46762,0.95726,2.41281,0.00103073,0.00103073,0.00103073
150,2754.74,0.30171,0.74203,1.63718,0.88237,0.86916,0.87315,0.39845,0.48235,0.96121,2.48542,0.00102037,0.00102037,0.00102037
151,2772.95,0.28917,0.75308,1.56926,0.83441,0.90654,0.86696,0.40486,0.46516,0.97114,2.41998,0.00101,0.00101,0.00101
152,2791.27,0.29944,0.80265,1.6167,0.92355,0.90329,0.92704,0.40977,0.47734,1.03589,2.39961,0.000999633,0.000999633,0.000999633
153,2809.65,0.30685,0.71907,1.64385,0.88723,0.8824,0.91365,0.41691,0.49964,0.91326,2.57424,0.000989267,0.000989267,0.000989267
154,2828,0.31193,0.79901,1.65437,0.95307,0.85981,0.92514,0.44183,0.45761,0.92718,2.39278,0.000978903,0.000978903,0.000978903
155,2846.25,0.31723,0.80865,1.66357,0.9239,0.86916,0.91948,0.43198,0.47313,0.97569,2.36851,0.000968543,0.000968543,0.000968543
156,2864.56,0.29935,0.75731,1.60383,0.90683,0.85981,0.87657,0.41094,0.50194,0.95477,2.56505,0.000958187,0.000958187,0.000958187
157,2882.8,0.29542,0.76418,1.57198,0.9132,0.8972,0.90914,0.4173,0.49728,0.93087,2.49681,0.000947837,0.000947837,0.000947837
158,2901.11,0.30521,0.78283,1.62145,0.93212,0.89835,0.91924,0.44096,0.4885,0.89695,2.5365,0.000937494,0.000937494,0.000937494
159,2919.34,0.29512,0.75624,1.59493,0.96737,0.90654,0.945,0.46589,0.47392,0.96839,2.48092,0.000927159,0.000927159,0.000927159
160,2937.63,0.30921,0.79097,1.61688,0.93029,0.90654,0.9044,0.41322,0.47771,0.98147,2.47308,0.000916833,0.000916833,0.000916833
161,2955.92,0.30575,0.80939,1.61532,0.94401,0.92523,0.95402,0.45763,0.46065,0.94927,2.37552,0.000906517,0.000906517,0.000906517
162,2974.05,0.30233,0.77354,1.61318,0.92372,0.90535,0.93525,0.42673,0.46839,0.86183,2.43987,0.000896212,0.000896212,0.000896212
163,2992.19,0.30485,0.73077,1.62308,0.93112,0.88442,0.94071,0.44289,0.45776,0.94143,2.43356,0.00088592,0.00088592,0.00088592
164,3010.44,0.30775,0.77849,1.64169,0.91151,0.88785,0.91015,0.40149,0.47551,0.97027,2.50073,0.000875642,0.000875642,0.000875642
165,3028.66,0.30178,0.74152,1.6069,0.9746,0.85981,0.93756,0.42783,0.48275,1.02081,2.48214,0.000865378,0.000865378,0.000865378
