epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1308.94,0.38617,1.1395,1.95765,0.85914,0.85047,0.86702,0.36936,0.48462,1.14282,2.48187,0.00176616,0.00176616,0.00176616
69,1328.12,0.37197,1.08047,1.93584,0.73346,0.87443,0.85065,0.34358,0.47667,1.20685,2.41824,0.00175943,0.00175943,0.00175943
70,1347.23,0.38285,1.08988,1.92644,0.83362,0.83178,0.81994,0.37271,0.47772,1.2826,2.32187,0.00175261,0.00175261,0.00175261
71,1366.27,0.38499,1.13345,1.95215,0.8578,0.82243,0.85248,0.33014,0.51373,1.16874,2.54997,0.00174571,0.00174571,0.00174571
72,1385.36,0.39909,1.10817,2.01263,0.89957,0.82243,0.86828,0.38568,0.49503,1.14768,2.3805,0.00173874,0.00173874,0.00173874
73,1404.49,0.40172,1.152,1.9873,0.78803,0.90337,0.8858,0.37515,0.4888,1.17242,2.34391,0.00173168,0.00173168,0.00173168
74,1423.45,0.36599,1.10948,1.89518,0.78255,0.8785,0.82977,0.34362,0.47556,1.16788,2.35908,0.00172454,0.00172454,0.00172454
75,1442.35,0.37396,1.13794,1.88486,0.8527,0.81154,0.85621,0.36277,0.47529,1.22863,2.39028,0.00171733,0.00171733,0.00171733
76,1461.32,0.36534,1.05718,1.87782,0.83425,0.84672,0.82386,0.35506,0.50454,1.10876,2.46881,0.00171004,0.00171004,0.00171004
77,1480.47,0.39867,1.07686,1.96479,0.89211,0.88785,0.90928,0.39685,0.48329,1.11336,2.389,0.00170267,0.00170267,0.00170267
78,1499.56,0.38183,1.08308,1.94283,0.74612,0.79439,0.77739,0.31588,0.48998,1.27276,2.39485,0.00169522,0.00169522,0.00169522
79,1518.62,0.37787,1.07854,1.93988,0.86581,0.84421,0.88693,0.39939,0.47044,1.20449,2.28385,0.0016877,0.0016877,0.0016877
80,1537.76,0.37577,1.14424,1.90819,0.89791,0.8785,0.89982,0.38241,0.49383,1.06396,2.40568,0.00168011,0.00168011,0.00168011
81,1556.9,0.3985,1.12598,1.96076,0.87087,0.81938,0.8403,0.34948,0.50978,1.11316,2.59403,0.00167244,0.00167244,0.00167244
82,1576.04,0.39444,1.16318,1.98272,0.85406,0.90654,0.91458,0.40795,0.48018,1.11322,2.3994,0.0016647,0.0016647,0.0016647
83,1595.13,0.39016,1.12084,1.93221,0.79474,0.86845,0.8003,0.32545,0.48733,1.08505,2.41267,0.00165689,0.00165689,0.00165689
84,1614.26,0.36174,1.10646,1.85594,0.90636,0.85981,0.90113,0.39676,0.48033,1.10104,2.3474,0.001649,0.001649,0.001649
85,1633.36,0.38257,1.068,1.93928,0.82114,0.90108,0.86026,0.36476,0.46259,1.16926,2.39333,0.00164105,0.00164105,0.00164105
86,1652.41,0.3737,1.08599,1.89625,0.91848,0.84245,0.90599,0.40191,0.47536,1.0722,2.36823,0.00163303,0.00163303,0.00163303
87,1671.49,0.38105,1.03676,1.91249,0.8556,0.88604,0.86605,0.37857,0.47992,1.1081,2.36844,0.00162494,0.00162494,0.00162494
88,1690.56,0.37708,1.06153,1.89672,0.83772,0.85981,0.87169,0.38195,0.46824,1.19482,2.30618,0.00161678,0.00161678,0.00161678
89,1709.72,0.3744,1.10774,1.91717,0.97799,0.8306,0.92806,0.41632,0.48731,1.17411,2.30913,0.00160855,0.00160855,0.00160855
90,1729.04,0.36996,1.07433,1.89026,0.92451,0.8785,0.92666,0.39915,0.48626,1.15122,2.29035,0.00160026,0.00160026,0.00160026
91,1748.16,0.36674,1.05733,1.88946,0.93895,0.86916,0.93437,0.40932,0.4705,1.08276,2.26325,0.00159191,0.00159191,0.00159191
92,1767.37,0.36956,1.06534,1.88037,0.91372,0.85047,0.87483,0.39255,0.47904,1.16789,2.32499,0.00158349,0.00158349,0.00158349
93,1786.54,0.3556,1.06759,1.82426,0.81827,0.88373,0.85354,0.38886,0.46208,1.10194,2.34557,0.00157501,0.00157501,0.00157501
94,1805.59,0.36139,1.02675,1.83935,0.87864,0.8972,0.90625,0.40484,0.48561,1.06026,2.32349,0.00156646,0.00156646,0.00156646
95,1824.63,0.37288,1.0159,1.87849,0.83589,0.88785,0.84423,0.35394,0.49055,1.11941,2.43654,0.00155786,0.00155786,0.00155786
96,1843.79,0.35972,1.01968,1.86027,0.74019,0.9053,0.79678,0.33279,0.48539,1.13024,2.42086,0.00154919,0.00154919,0.00154919
97,1862.99,0.36231,1.02619,1.86641,0.84876,0.86916,0.8984,0.39239,0.48657,1.11899,2.30661,0.00154047,0.00154047,0.00154047
98,1882.17,0.36577,1.01251,1.85894,0.77163,0.8785,0.84135,0.35743,0.48223,1.21639,2.41502,0.00153169,0.00153169,0.00153169
99,1901.2,0.35481,1.01999,1.84686,0.89043,0.83546,0.89789,0.39783,0.47254,1.10532,2.311,0.00152285,0.00152285,0.00152285
100,1920.37,0.3649,1.02038,1.87638,0.80146,0.85047,0.83407,0.35956,0.4844,1.10526,2.37359,0.00151395,0.00151395,0.00151395
101,1939.55,0.35636,1.0472,1.83809,0.82551,0.8972,0.88387,0.37735,0.48036,1.07425,2.33756,0.001505,0.001505,0.001505
102,1958.69,0.36894,1.05549,1.88193,0.84226,0.91589,0.9078,0.39969,0.47856,1.05107,2.30421,0.00149599,0.00149599,0.00149599
103,1977.85,0.36445,0.97814,1.85615,0.83178,0.8318,0.87678,0.37365,0.48382,1.08057,2.33811,0.00148694,0.00148694,0.00148694
104,1997.06,0.36391,1.04599,1.85564,0.85244,0.86384,0.8878,0.4011,0.48433,1.05433,2.29327,0.00147783,0.00147783,0.00147783
105,2016.27,0.37548,0.99497,1.88799,0.90327,0.87272,0.888,0.40379,0.46338,1.11824,2.27715,0.00146866,0.00146866,0.00146866
106,2035.46,0.35587,1.00631,1.82387,0.90419,0.92523,0.91738,0.38403,0.48558,1.07721,2.32652,0.00145945,0.00145945,0.00145945
