epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,806.486,0.18022,0.85636,1.24575,0.80683,0.85047,0.83482,0.35874,0.2529,1.06117,1.60226,0.00175943,0.00175943,0.00175943
70,818.044,0.18018,0.85012,1.24101,0.89009,0.86916,0.86609,0.37719,0.24957,1.03474,1.64303,0.00175261,0.00175261,0.00175261
71,829.582,0.18692,0.88751,1.23973,0.87834,0.87714,0.89599,0.39437,0.23862,1.05314,1.55546,0.00174571,0.00174571,0.00174571
72,841.106,0.18628,0.89069,1.28462,0.85894,0.84112,0.88681,0.35433,0.25454,1.04121,1.66397,0.00173874,0.00173874,0.00173874
73,852.791,0.1877,0.90381,1.271,0.91395,0.82243,0.88418,0.40403,0.24235,1.0959,1.57369,0.00173168,0.00173168,0.00173168
74,864.402,0.17622,0.8677,1.24046,0.92296,0.89577,0.92275,0.41906,0.24108,1.0375,1.52486,0.00172454,0.00172454,0.00172454
75,876,0.18069,0.89196,1.22505,0.86862,0.86509,0.88445,0.38973,0.24207,1.04668,1.56302,0.00171733,0.00171733,0.00171733
76,887.547,0.17435,0.81272,1.21173,0.93591,0.85047,0.91501,0.42197,0.24027,1.09412,1.53307,0.00171004,0.00171004,0.00171004
77,899.113,0.18037,0.87437,1.24169,0.9219,0.85981,0.91851,0.43536,0.24713,0.98569,1.57643,0.00170267,0.00170267,0.00170267
78,910.694,0.18054,0.85216,1.25397,0.79196,0.85981,0.83078,0.32585,0.25798,1.12407,1.60565,0.00169522,0.00169522,0.00169522
79,922.426,0.18065,0.83027,1.27094,0.91327,0.88569,0.89634,0.41806,0.25496,1.0035,1.56332,0.0016877,0.0016877,0.0016877
80,933.921,0.17576,0.86558,1.22319,0.89271,0.8554,0.89716,0.39259,0.25216,0.99477,1.59116,0.00168011,0.00168011,0.00168011
81,945.529,0.18237,0.86257,1.23361,0.89658,0.81026,0.87447,0.39164,0.24262,1.14311,1.5691,0.00167244,0.00167244,0.00167244
82,957.122,0.17977,0.89651,1.22579,0.8339,0.84459,0.8377,0.39349,0.23362,1.05051,1.56878,0.0016647,0.0016647,0.0016647
83,968.679,0.18202,0.86645,1.24497,0.90404,0.88047,0.93173,0.41948,0.24294,0.99255,1.54294,0.00165689,0.00165689,0.00165689
84,980.265,0.17665,0.84967,1.21279,0.9362,0.82284,0.89334,0.40353,0.24259,1.05652,1.57529,0.001649,0.001649,0.001649
85,991.779,0.18346,0.84046,1.23718,0.87587,0.85981,0.86157,0.38393,0.24245,0.98309,1.5745,0.00164105,0.00164105,0.00164105
