epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2405.1,1.47151,0.85245,1.24457,0.93248,0.85047,0.92595,0.43858,1.71328,0.86553,1.49556,0.00169522,0.00169522,0.00169522
79,2436.75,1.46831,0.83842,1.26734,0.87883,0.88785,0.93193,0.43637,1.73853,0.85924,1.54457,0.0016877,0.0016877,0.0016877
80,2467.79,1.42286,0.82319,1.22658,0.96616,0.85047,0.91117,0.44576,1.74148,0.92656,1.50829,0.00168011,0.00168011,0.00168011
81,2499.12,1.44962,0.77848,1.31399,0.96062,0.81308,0.88409,0.42063,1.74377,0.93364,1.51197,0.00167244,0.00167244,0.00167244
82,2530.07,1.47396,0.87374,1.27292,0.90824,0.81308,0.87162,0.394,1.79881,0.95834,1.52955,0.0016647,0.0016647,0.0016647
83,2560.12,1.43092,0.84891,1.24622,0.9141,0.85047,0.89008,0.43174,1.70472,0.90191,1.50843,0.00165689,0.00165689,0.00165689
84,2591.69,1.44266,0.81474,1.24624,0.93821,0.85145,0.89117,0.44803,1.69647,0.86952,1.52009,0.001649,0.001649,0.001649
85,2622.86,1.46311,0.81818,1.24166,0.9385,0.84112,0.9161,0.44318,1.70668,0.8679,1.49736,0.00164105,0.00164105,0.00164105
86,2653.56,1.43494,0.84577,1.24715,0.95372,0.85047,0.91629,0.44771,1.72684,0.86439,1.49591,0.00163303,0.00163303,0.00163303
87,2684.34,1.41378,0.80431,1.25305,0.92627,0.78505,0.88062,0.41132,1.74119,0.95412,1.56059,0.00162494,0.00162494,0.00162494
88,2715.01,1.50186,0.85163,1.28881,0.92874,0.8785,0.91713,0.43562,1.76439,0.89154,1.54488,0.00161678,0.00161678,0.00161678
89,2745.57,1.45493,0.83536,1.24705,0.92251,0.77882,0.88238,0.45445,1.71126,0.93689,1.50291,0.00160855,0.00160855,0.00160855
90,2775.68,1.43709,0.80219,1.25269,0.94513,0.80484,0.93358,0.46564,1.68064,0.81543,1.50652,0.00160026,0.00160026,0.00160026
91,2806.18,1.35972,0.79255,1.22512,0.90306,0.87066,0.92131,0.47842,1.63564,0.84038,1.46632,0.00159191,0.00159191,0.00159191
92,2837.4,1.43975,0.79622,1.25641,0.92698,0.82243,0.90364,0.4411,1.67233,0.87894,1.48105,0.00158349,0.00158349,0.00158349
93,2867.99,1.40096,0.77661,1.24267,0.93675,0.85981,0.91486,0.47536,1.69322,0.86782,1.50451,0.00157501,0.00157501,0.00157501
94,2897.95,1.46326,0.82704,1.27772,0.88125,0.90166,0.91758,0.47569,1.63273,0.81638,1.47003,0.00156646,0.00156646,0.00156646
95,2928.45,1.38605,0.79983,1.22707,0.8704,0.8785,0.91578,0.4586,1.7158,0.86122,1.51476,0.00155786,0.00155786,0.00155786
96,2959.37,1.41838,0.85846,1.23254,0.90354,0.81308,0.86387,0.43515,1.74084,0.85495,1.55289,0.00154919,0.00154919,0.00154919
97,2990.84,1.47498,0.80817,1.28562,0.90727,0.84112,0.90481,0.4487,1.72176,0.83742,1.54007,0.00154047,0.00154047,0.00154047
98,3021.91,1.45441,0.78558,1.26888,0.91129,0.86405,0.89827,0.41941,1.82967,0.85177,1.58218,0.00153169,0.00153169,0.00153169
99,3053.06,1.50908,0.7892,1.31399,0.9268,0.82828,0.91972,0.45377,1.7346,0.8908,1.52227,0.00152285,0.00152285,0.00152285
100,3083.89,1.49917,0.8604,1.27539,0.89059,0.83683,0.88049,0.41694,1.75482,0.97941,1.52269,0.00151395,0.00151395,0.00151395
101,3115.18,1.40125,0.8137,1.20816,0.96835,0.85792,0.93344,0.46692,1.69441,0.85223,1.47669,0.001505,0.001505,0.001505
102,3145.81,1.42,0.76526,1.26389,0.93603,0.85047,0.92753,0.46161,1.68823,0.82162,1.52391,0.00149599,0.00149599,0.00149599
103,3176.7,1.40407,0.77472,1.23157,0.94488,0.86916,0.9462,0.47293,1.71784,0.77501,1.49188,0.00148694,0.00148694,0.00148694
104,3207.39,1.43016,0.78056,1.24778,0.964,0.81308,0.91235,0.43722,1.79637,0.89898,1.56774,0.00147783,0.00147783,0.00147783
105,3237.12,1.40887,0.77079,1.22407,0.95132,0.80374,0.90229,0.40611,1.78185,0.82192,1.61053,0.00146866,0.00146866,0.00146866
106,3266.68,1.41196,0.7986,1.21558,0.92722,0.83353,0.91457,0.43064,1.72066,0.86531,1.53524,0.00145945,0.00145945,0.00145945
